Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.9141274238227147,0.9482449078551942,,0.9159687387515079,1.1989359855651855
RidgeClassifierCV,0.8614958448753463,0.8165371151209787,,0.8602735205844433,0.2661170959472656
RandomForestClassifier,0.8448753462603878,0.7623837333769132,,0.8385117290933927,0.9254400730133057
LogisticRegression,0.7894736842105263,0.7523232135935648,,0.7890865089546636,3.472913980484009
LinearSVC,0.814404432132964,0.7333500786860684,,0.8141691160136335,13.69711709022522
RidgeClassifier,0.8116343490304709,0.7180694688923538,,0.8078500908140797,0.05750298500061035
ExtraTreesClassifier,0.8254847645429363,0.7066758606080856,,0.8134751411549405,0.3373730182647705
CalibratedClassifierCV,0.814404432132964,0.6870417685765033,,0.8104431821923953,67.54203701019287
LGBMClassifier,0.8365650969529086,0.6766365995994009,,0.8287772921609998,21.26094889640808
BaggingClassifier,0.8033240997229917,0.6556220943102871,,0.7919550729465171,3.5818932056427
XGBClassifier,0.778393351800554,0.6178629947626996,,0.7668629591540632,19.848567008972168
ExtraTreeClassifier,0.7562326869806094,0.6145382564493713,,0.7469578978191501,0.04450583457946777
DecisionTreeClassifier,0.7202216066481995,0.5824909661320365,,0.7091719414541641,0.8728468418121338
SGDClassifier,0.6343490304709142,0.5722743757873611,,0.6136372359302021,0.5390110015869141
GaussianNB,0.4626038781163435,0.5420083291872065,,0.4352632895625648,0.08957386016845703
PassiveAggressiveClassifier,0.6260387811634349,0.5086774326051612,,0.6271733098223643,1.3856210708618164
KNeighborsClassifier,0.6454293628808865,0.46676806217799716,,0.6209789294820642,0.13655400276184082
SVC,0.5734072022160664,0.4183353020083418,,0.545791586900799,0.6468610763549805
Perceptron,0.48753462603878117,0.4143094533315044,,0.5028253565941275,0.5238621234893799
NearestCentroid,0.3268698060941828,0.3948793763048176,,0.3181115171038869,0.05339217185974121
LabelPropagation,0.5346260387811634,0.3348999986468017,,0.5756758800003166,0.099578857421875
LabelSpreading,0.5346260387811634,0.3348999986468017,,0.5756758800003166,0.2435603141784668
BernoulliNB,0.3379501385041551,0.3177450917556026,,0.30401623182690596,0.11630892753601074
QuadraticDiscriminantAnalysis,0.32132963988919666,0.18627161019154137,,0.2814922599811319,0.8713672161102295
AdaBoostClassifier,0.23268698060941828,0.1261204919741505,,0.1233673608770453,4.280757188796997
DummyClassifier,0.1440443213296399,0.05555555555555555,,0.03627266202973983,0.043786048889160156
